date_clutch_born,date_scheduled_to_count,date_clutch_counted,temperature,replicate,clutch_number,days_since_birth,initial_baby_count,final_baby_count,difference_clutch_counts,Notes
07-30-2017,08-02-2017,08-02-2017,20,1,1,3,1,1,0,
08-01-2017,08-04-2017,08-04-2017,20,1,2,3,12,10,2,
08-03-2017,08-06-2017,08-06-2017,20,1,3,3,11,6,5,
08-05-2017,08-08-2017,08-08-2017,20,1,4,3,19,15,4,
08-08-2017,08-11-2017,08-11-2017,20,1,5,3,15,15,0,
08-09-2017,08-12-2017,08-12-2017,20,1,6,3,2,0,2,
07-29-2017,08-01-2017,08-01-2017,20,2,1,3,19,16,3,
08-04-2017,08-07-2017,08-07-2017,20,2,2,3,22,18,4,
08-07-2017,08-10-2017,08-10-2017,20,2,3,3,11,11,0,
08-10-2017,08-13-2017,08-13-2017,20,2,4,3,22,22,0,
08-13-2017,08-16-2017,,20,2,5,05-17-1782,,,0,
,,,20,2,6,0,,,0,
07-30-2017,08-02-2017,08-02-2017,20,3,1,3,12,12,0,
07-31-2017,08-03-2017,08-03-2017,20,3,2,3,3,3,0,
08-02-2017,08-05-2017,08-05-2017,20,3,3,3,16,16,0,
08-05-2017,08-08-2017,08-08-2017,20,3,4,3,16,16,0,
08-09-2017,08-12-2017,08-12-2017,20,3,5,3,13,12,1,
08-11-2017,08-14-2017,08-14-2017,20,3,6,3,9,8,1,
07-30-2017,08-02-2017,08-02-2017,20,4,1,3,10,8,2,
08-02-2017,08-05-2017,08-05-2017,20,4,2,3,13,13,0,
08-05-2017,08-08-2017,08-08-2017,20,4,3,3,21,21,0,
08-08-2017,08-11-2017,08-11-2017,20,4,4,3,29,29,0,
08-14-2017,08-17-2017,,20,4,5,05-16-1782,,,0,
,,,20,4,6,0,,,0,
08-03-2017,08-06-2017,08-06-2017,20,5,1,3,9,5,4,
08-05-2017,08-08-2017,08-08-2017,20,5,2,3,18,18,0,
08-07-2017,08-10-2017,08-10-2017,20,5,3,3,2,0,2,
08-08-2017,08-11-2017,08-11-2017,20,5,4,3,21,21,0,
08-11-2017,08-14-2017,08-14-2017,20,5,5,3,6,6,0,
08-15-2017,08-18-2017,,20,5,6,05-15-1782,,,0,
08-04-2017,08-07-2017,08-07-2017,20,6,1,3,11,11,0,
08-07-2017,08-10-2017,08-10-2017,20,6,2,3,16,16,0,
08-10-2017,08-13-2017,08-13-2017,20,6,3,3,13,9,4,
08-12-2017,08-15-2017,08-15-2017,20,6,4,3,1,1,0,
08-13-2017,08-16-2017,,20,6,5,05-17-1782,,,0,
,,,20,6,6,0,,,0,
07-30-2017,08-02-2017,08-02-2017,20,7,1,3,11,10,1,
08-01-2017,08-04-2017,08-04-2017,20,7,2,3,9,12,-3,miscounted first time
08-03-2017,08-06-2017,08-06-2017,20,7,3,3,20,20,0,
08-07-2017,08-10-2017,08-10-2017,20,7,4,3,25,24,1,
08-09-2017,08-12-2017,08-12-2017,20,7,5,3,19,18,1,
08-12-2017,08-15-2017,08-15-2017,20,7,6,3,14,10,4,
08-02-2017,08-05-2017,08-05-2017,20,8,1,3,13,13,0,
08-04-2017,08-07-2017,08-07-2017,20,8,2,3,20,18,2,
08-07-2017,08-10-2017,08-10-2017,20,8,3,3,22,22,0,
08-10-2017,08-13-2017,08-13-2017,20,8,4,3,10,8,2,
08-13-2017,08-16-2017,,20,8,5,05-17-1782,,,0,
,,,20,8,6,0,,,0,
07-24-2017,07-27-2017,07-27-2017,24,1,1,3,6,5,1,
07-26-2017,07-29-2017,07-29-2017,24,1,2,3,2,2,0,
07-28-2017,07-31-2017,07-31-2017,24,1,3,2,7,7,0,
07-29-2017,08-01-2017,08-01-2017,24,1,4,3,14,10,4,
07-30-2017,08-02-2017,08-02-2017,24,1,5,3,10,9,1,
07-31-2017,08-03-2017,08-03-2017,24,1,6,3,3,3,0,
07-26-2017,07-29-2017,07-29-2017,24,2,1,3,1,1,0,
07-28-2017,07-31-2017,07-31-2017,24,2,2,3,12,12,0,
07-30-2017,08-02-2017,08-02-2017,24,2,3,3,11,10,1,
07-31-2017,08-03-2017,08-03-2017,24,2,4,2,3,3,0,
08-01-2017,08-04-2017,08-04-2017,24,2,5,1,19,19,0,
08-03-2017,08-06-2017,08-06-2017,24,2,6,3,9,9,0,
07-19-2017,07-21-2017,07-21-2017,24,3,1,0,,8,,
07-21-2017,07-24-2017,07-24-2017,24,3,2,3,10,10,0,
07-24-2017,07-27-2017,07-27-2017,24,3,3,3,10,,,spilled before final count
07-26-2017,07-29-2017,07-29-2017,24,3,4,3,13,12,1,
07-28-2017,07-31-2017,07-31-2017,24,3,5,3,19,16,3,
07-29-2017,08-01-2017,08-01-2017,24,3,6,3,23,23,0,
07-25-2017,07-28-2017,07-28-2017,24,4,1,3,5,5,0,
07-27-2017,07-30-2017,07-30-2017,24,4,2,3,8,7,1,
07-29-2017,08-01-2017,08-01-2017,24,4,3,3,13,13,0,
07-31-2017,08-03-2017,08-03-2017,24,4,4,3,19,18,1,
08-01-2017,08-04-2017,08-04-2017,24,4,5,3,4,4,0,
08-02-2017,08-05-2017,08-05-2017,24,4,6,3,13,13,0,
07-24-2017,07-27-2017,07-27-2017,24,5,1,3,13,13,0,died at clutch3
07-29-2017,08-01-2017,08-01-2017,24,5,2,3,13,3,10,
07-30-2017,08-02-2017,08-02-2017,24,5,3,3,23,20,3,
,,,24,5,4,0,,,0,
,,,24,5,5,0,,,0,
,,,24,5,6,0,,,0,
07-24-2017,07-27-2017,07-27-2017,24,6,1,3,15,11,4,
07-29-2017,08-01-2017,08-01-2017,24,6,2,3,17,16,1,
07-30-2017,08-02-2017,08-02-2017,24,6,3,3,18,18,0,
08-01-2017,08-04-2017,08-04-2017,24,6,4,3,2,2,0,
08-02-2017,08-05-2017,08-05-2017,24,6,5,3,14,14,0,
08-04-2017,08-07-2017,08-07-2017,24,6,6,3,10,10,0,
07-24-2017,07-27-2017,07-27-2017,24,7,1,3,1,1,0,
07-28-2017,07-31-2017,07-31-2017,24,7,2,3,16,14,2,
07-30-2017,08-02-2017,08-02-2017,24,7,3,3,8,8,0,
08-01-2017,08-04-2017,08-04-2017,24,7,4,3,10,9,1,
08-02-2017,08-05-2017,08-05-2017,24,7,5,3,1,1,0,
08-03-2017,08-06-2017,08-06-2017,24,7,6,3,16,13,3,
07-21-2017,07-24-2017,07-24-2017,24,8,1,3,10,10,0,
07-24-2017,07-27-2017,07-27-2017,24,8,2,3,9,9,0,
07-25-2017,07-28-2017,07-28-2017,24,8,3,3,20,14,6,
07-27-2017,07-30-2017,07-30-2017,24,8,4,3,11,10,1,
07-29-2017,08-01-2017,08-01-2017,24,8,5,3,23,22,1,
08-01-2017,08-04-2017,08-04-2017,24,8,6,3,23,23,0,
07-20-2017,07-23-2017,07-23-2017,27,1,1,3,5,3,2,
07-21-2017,07-24-2017,07-24-2017,27,1,2,3,4,5,-1,missed counting one initially?
07-24-2017,07-27-2017,07-27-2017,27,1,3,3,12,5,7,
07-25-2017,07-28-2017,07-28-2017,27,1,4,3,4,4,0,
07-27-2017,07-30-2017,07-30-2017,27,1,5,3,4,4,0,
07-30-2017,08-02-2017,08-02-2017,27,1,6,3,18,16,2,
07-17-2017,07-20-2017,07-20-2017,27,2,1,3,,10,,
07-20-2017,07-23-2017,07-23-2017,27,2,2,3,3,3,0,
07-21-2017,07-24-2017,07-24-2017,27,2,3,3,13,10,3,
07-24-2017,07-27-2017,07-27-2017,27,2,4,3,15,12,3,
07-25-2017,07-28-2017,07-28-2017,27,2,5,3,18,17,1,
07-27-2017,07-30-2017,07-30-2017,27,2,6,3,12,11,1,
07-29-2017,08-01-2017,08-01-2017,27,2,7,3,20,13,7,
07-20-2017,07-23-2017,07-23-2017,27,3,1,3,7,7,0,
07-24-2017,07-27-2017,07-27-2017,27,3,2,3,6,7,-1,missed one on first count
07-28-2017,07-31-2017,07-31-2017,27,3,3,3,9,8,1,
07-29-2017,08-01-2017,08-01-2017,27,3,4,3,10,8,2,
07-31-2017,08-03-2017,08-03-2017,27,3,5,3,4,4,0,
,,,27,3,6,0,,,0,died before 6th clutch
07-17-2017,07-20-2017,07-20-2017,27,4,1,3,,9,,
07-21-2017,07-24-2017,07-24-2017,27,4,2,3,12,9,3,
07-22-2017,07-25-2017,07-25-2017,27,4,3,3,12,12,0,
07-24-2017,07-27-2017,07-27-2017,27,4,4,3,7,7,0,
07-26-2017,07-29-2017,07-29-2017,27,4,5,3,12,10,2,
07-28-2017,07-31-2017,07-31-2017,27,4,6,3,7,7,0,
07-29-2017,08-01-2017,08-01-2017,27,4,7,3,10,9,1,
07-22-2017,07-25-2017,07-25-2017,27,5,1,3,8,8,0,
07-24-2017,07-27-2017,07-27-2017,27,5,2,3,2,2,0,
07-25-2017,07-28-2017,07-28-2017,27,5,3,3,12,12,0,
07-28-2017,07-31-2017,07-31-2017,27,5,4,3,6,6,0,
07-29-2017,08-01-2017,08-01-2017,27,5,5,3,14,12,2,
08-01-2017,08-04-2017,08-04-2017,27,5,6,3,13,11,2,
,,,27,6,1,0,,,0,
,,,27,6,2,0,,,0,
,,,27,6,3,0,,,0,
,,,27,6,4,0,,,0,
,,,27,6,5,0,,,0,
,,,27,6,6,0,,,0,
07-18-2017,07-21-2017,07-20-2017,27,7,1,2,2,,,accidentally spilled beaker
07-20-2017,07-23-2017,07-23-2017,27,7,2,3,4,4,0,
07-22-2017,07-25-2017,07-25-2017,27,7,3,3,2,2,0,
07-24-2017,07-27-2017,07-27-2017,27,7,4,3,2,2,0,
07-26-2017,07-29-2017,07-29-2017,27,7,5,3,6,5,1,
07-29-2017,08-01-2017,08-01-2017,27,7,6,3,3,3,0,
07-17-2017,07-20-2017,07-20-2017,27,8,1,3,,1,,
07-20-2017,07-23-2017,07-23-2017,27,8,2,3,5,4,1,
07-21-2017,07-24-2017,07-24-2017,27,8,3,3,6,5,1,
07-24-2017,07-27-2017,07-27-2017,27,8,4,3,19,15,4,
07-28-2017,07-31-2017,07-31-2017,27,8,5,3,7,6,1,
07-30-2017,08-02-2017,08-02-2017,27,8,6,3,12,11,1,
