date_measured,temperature,replicate,stage,magnification,size_(um),Notes,projected_experiment_start_date
,10,8,clutch6,4,,,
,10,8,clutch7,4,,,
,10,8,clutch8,4,,,
08-08-2017,16,1,neonate,4,749.203,,7/24/2017
,16,1,clutch1,4,,,
,16,1,clutch2,4,,,
,16,1,clutch3,4,,,
,16,1,clutch4,4,,,
,16,1,clutch5,4,,,
,16,1,clutch6,4,,,
,16,1,clutch7,4,,,
,16,1,clutch8,4,,,
07-28-2017,16,2,neonate,4,785.15,,
08-13-2017,16,2,clutch1,4,2296.12,,
,16,2,clutch2,4,,,
,16,2,clutch3,4,,,
,16,2,clutch4,4,,,
,16,2,clutch5,4,,,
,16,2,clutch6,4,,,
,16,2,clutch7,4,,,
,16,2,clutch8,4,,,
08-05-2017,16,3,neonate,4,624.089,From 10-2 lineage,
,16,3,clutch1,4,,From 10-2 lineage,
,16,3,clutch2,4,,From 10-2 lineage,
,16,3,clutch3,4,,From 10-2 lineage,
,16,3,clutch4,4,,From 10-2 lineage,
,16,3,clutch5,4,,From 10-2 lineage,
,16,3,clutch6,4,,From 10-2 lineage,
,16,3,clutch7,4,,,
,16,3,clutch8,4,,,
08-09-2017,16,4,neonate,4,693.1,,
,16,4,clutch1,4,,,
,16,4,clutch2,4,,,
,16,4,clutch3,4,,,
,16,4,clutch4,4,,,
,16,4,clutch5,4,,,
,16,4,clutch6,4,,,
,16,4,clutch7,4,,,
,16,4,clutch8,4,,,
,16,5,neonate,4,,,
,16,5,clutch1,4,,,
,16,5,clutch2,4,,,
,16,5,clutch3,4,,,
,16,5,clutch4,4,,,
,16,5,clutch5,4,,,
,16,5,clutch6,4,,,
,16,5,clutch7,4,,,
,16,5,clutch8,4,,,
08-03-2017,16,6,neonate,4,650.343,,
,16,6,clutch1,4,,,
,16,6,clutch2,4,,,
,16,6,clutch3,4,,,
,16,6,clutch4,4,,,
,16,6,clutch5,4,,,
,16,6,clutch6,4,,,
,16,6,clutch7,4,,,
,16,6,clutch8,4,,,
08-05-2017,16,7,neonate,4,718.782,,
,16,7,clutch1,4,,,
,16,7,clutch2,4,,,
,16,7,clutch3,4,,,
,16,7,clutch4,4,,,
,16,7,clutch5,4,,,
,16,7,clutch6,4,,,
,16,7,clutch7,4,,,
,16,7,clutch8,4,,,
08-03-2017,16,8,neonate,4,654.747,,
,16,8,clutch1,4,,,
,16,8,clutch2,4,,,
,16,8,clutch3,4,,,
,16,8,clutch4,4,,,
,16,8,clutch5,4,,,
,16,8,clutch6,4,,,
,16,8,clutch7,4,,,
,16,8,clutch8,4,,,
07-16-2017,20,1,neonate,4,699.761,,7/13/2017
07-30-2017,20,1,clutch1,4,1848.806,,
08-01-2017,20,1,clutch2,4,2050.805,,
08-03-2017,20,1,clutch3,4,2154.017,,
08-05-2017,20,1,clutch4,4,2207.839,,
08-08-2017,20,1,clutch5,4,2242.97,,
08-09-2017,20,1,clutch6,4,2203.369,,
08-11-2017,20,1,clutch7,4,2357.9,,
08-14-2017,20,1,clutch8,4,2484.936,,
07-16-2017,20,2,neonate,4,875.718,,
07-29-2017,20,2,clutch1,4,2224.461,,
08-04-2017,20,2,clutch2,4,2540.518,,
08-07-2017,20,2,clutch3,4,2616.893,,
08-10-2017,20,2,clutch4,4,2650.695,,
08-13-2017,20,2,clutch5,4,2723.107,,
,20,2,clutch6,4,,,
,20,2,clutch7,4,,,
,20,2,clutch8,4,,,
07-16-2017,20,3,neonate,4,725.336,From 10-2 lineage,
07-30-2017,20,3,clutch1,4,2253.066,From 10-2 lineage,
07-31-2017,20,3,clutch2,4,2266.841,From 10-2 lineage,
08-02-2017,20,3,clutch3,4,2383.85,From 10-2 lineage,
08-05-2017,20,3,clutch4,4,2504.256,From 10-2 lineage,
08-09-2017,20,3,clutch5,4,2510.516,From 10-2 lineage,
08-11-2017,20,3,clutch6,4,2597.914,From 10-2 lineage,
08-14-2017,20,3,clutch7,4,2705.524,From 10-2 lineage,
,20,3,clutch8,4,,From 10-2 lineage,
07-19-2017,20,4,neonate,4,658.701,,
07-30-2017,20,4,clutch1,4,2257.85,,
08-02-2017,20,4,clutch2,4,2485.808,,
08-05-2017,20,4,clutch3,4,2597.354,,
08-08-2017,20,4,clutch4,4,2619.14,,
08-14-2017,20,4,clutch5,4,2882.069,,
,20,4,clutch6,4,,,
,20,4,clutch7,4,,,
,20,4,clutch8,4,,,
07-18-2017,20,5,neonate,4,562.189,,
08-03-2017,20,5,clutch1,4,2128.481,,
08-05-2017,20,5,clutch2,4,2078.538,,
08-07-2017,20,5,clutch3,4,2232.76,,
08-08-2017,20,5,clutch4,4,2185.972,,
08-11-2017,20,5,clutch5,4,2169.796,,
,20,5,clutch6,4,,,
,20,5,clutch7,4,,,
,20,5,clutch8,4,,,
07-18-2017,20,6,neonate,4,687.193,,
08-04-2017,20,6,clutch1,4,2235.409,,
08-07-2017,20,6,clutch2,4,2251.74,,
08-10-2017,20,6,clutch3,4,2303.24,,
08-12-2017,20,6,clutch4,4,2296.01,,
08-13-2017,20,6,clutch5,4,2393.781,,
,20,6,clutch6,4,,,
,20,6,clutch7,4,,,
,20,6,clutch8,4,,,
07-16-2017,20,7,neonate,4,888.446,,
07-30-2017,20,7,clutch1,4,2098.536,,
08-01-2017,20,7,clutch2,4,2230.439,,
08-03-2017,20,7,clutch3,4,2341.043,,
08-07-2017,20,7,clutch4,4,2348.92,,
08-09-2017,20,7,clutch5,4,2393.562,,
08-12-2017,20,7,clutch6,4,2501.73,,
,20,7,clutch7,4,,,
,20,7,clutch8,4,,,
07-16-2017,20,8,neonate,4,714.233,,
08-02-2017,20,8,clutch1,4,2187.478,,
08-04-2017,20,8,clutch2,4,2296.122,,
08-07-2017,20,8,clutch3,4,2310.601,,
08-10-2017,20,8,clutch4,4,2334.661,,
08-13-2017,20,8,clutch5,4,2535.466,,
,20,8,clutch6,4,,,
,20,8,clutch7,4,,,
,20,8,clutch8,4,,,
07-16-2017,24,1,neonate,4,598.865,,7/10/17
07-24-2017,24,1,clutch1,4,1688.638,,
07-26-2017,24,1,clutch2,4,1901.946,,
07-28-2017,24,1,clutch3,4,2076.916,,
07-29-2017,24,1,clutch4,4,2129.107,,
07-30-2017,24,1,clutch5,4,2163.248,,
07-31-2017,24,1,clutch6,4,2175.275,,
08-01-2017,24,1,clutch7,4,2257.456,,
08-03-2017,24,1,clutch8,4,2387.903,,
08-05-2017,24,1,clutch9,4,2527.759,,
08-06-2017,24,1,clutch10,4,2620.667,,
08-07-2017,24,1,clutch11,4,2636.866,,
08-09-2017,24,1,clutch12,4,2688.032,,
08-11-2017,24,1,clutch13,4,2760.307,,
08-13-2017,24,1,clutch14,4,2806.018,,
07-16-2017,24,2,neonate,4,581.698,,
07-26-2017,24,2,clutch1,4,1962.486,,
07-28-2017,24,2,clutch2,4,2146.594,,
07-30-2017,24,2,clutch3,4,2299.43,,
07-31-2017,24,2,clutch4,4,2270.636,,
08-01-2017,24,2,clutch5,4,2316.339,,
08-03-2017,24,2,clutch6,4,2465.677,,
08-06-2017,24,2,clutch7,4,2520.11,,
08-08-2017,24,2,clutch8,4,2584.002,,
08-10-2017,24,2,clutch9,4,2708.677,,
08-12-2017,24,2,clutch10,4,2744.92,,
08-14-2017,24,2,clutch11,4,2794.932,,
07-14-2017,24,3,neonate,4,951.957,From 10-2 lineage,
07-19-2017,24,3,clutch1,4,1940.764,,
07-21-2017,24,3,clutch2,4,2101.258,,
07-24-2017,24,3,clutch3,4,2266.885,,
07-26-2017,24,3,clutch4,4,2465.874,,
07-28-2017,24,3,clutch5,4,2567.252,,
07-29-2017,24,3,clutch6,4,2626.238,,
08-01-2017,24,3,clutch7,4,2700.632,,
08-05-2017,24,3,clutch8,4,,forgot to measure,
08-05-2017,24,3,clutch9,4,2918.842,,
08-06-2017,24,3,clutch10,4,2896.904,,
08-09-2017,24,3,clutch11,4,3049.491,,
08-11-2017,24,3,clutch12,4,3079.541,,
08-13-2017,24,3,clutch13,4,3156.936,,
07-16-2017,24,4,neonate,4,619.654,,
07-25-2017,24,4,clutch1,4,1948.343,,
07-27-2017,24,4,clutch2,4,2125.125,,
07-29-2017,24,4,clutch3,4,2254.742,,
07-31-2017,24,4,clutch4,4,2301.395,,
08-01-2017,24,4,clutch5,4,2171.262,,
08-02-2017,24,4,clutch6,4,2389.109,,
08-04-2017,24,4,clutch7,4,2540.704,,
08-06-2017,24,4,clutch8,4,2680.987,,
08-08-2017,24,4,clutch9,4,2557.476,,
07-14-2017,24,5,neonate,4,891.519,died at clutch3,
07-24-2017,24,5,clutch1,4,2070.491,,
07-29-2017,24,5,clutch2,4,2297.155,,
07-30-2017,24,5,clutch3,4,2301.115,,
,24,5,clutch4,4,,,
,24,5,clutch5,4,,,
,24,5,clutch6,4,,,
,24,5,clutch7,4,,,
,24,5,clutch8,4,,,
07-13-2017,24,6,neonate,4,724.338,,
07-24-2017,24,6,clutch1,4,1901.552,,
07-29-2017,24,6,clutch2,4,2262.729,,
07-30-2017,24,6,clutch3,4,2255.029,,
08-01-2017,24,6,clutch4,4,2242.011,,
08-02-2017,24,6,clutch5,4,2293.745,,
08-04-2017,24,6,clutch6,4,2402.612,,
08-06-2017,24,6,clutch7,4,2540.357,,
08-09-2017,24,6,clutch8,4,2665.669,,
08-11-2017,24,6,clutch9,4,2707.516,,
08-13-2017,24,6,clutch10,4,2703.74,,
07-16-2017,24,7,neonate,4,850.476,,
07-24-2017,24,7,clutch1,4,2014.36,,
07-28-2017,24,7,clutch2,4,2314.269,,
07-30-2017,24,7,clutch3,4,2410.965,,
08-01-2017,24,7,clutch4,4,2498.962,,
08-02-2017,24,7,clutch5,4,2517.828,,
08-03-2017,24,7,clutch6,4,2696.611,,
08-05-2017,24,7,clutch7,4,2738.257,,
08-07-2017,24,7,clutch8,4,2786.855,,
08-09-2017,24,7,clutch9,4,2916.24,,
08-11-2017,24,7,clutch10,4,2981.897,,
08-13-2017,24,7,clutch11,4,3009.854,,
07-13-2017,24,8,neonate,4,761.365,,
07-21-2017,24,8,clutch1,4,2090.097,,
07-24-2017,24,8,clutch2,4,2250.259,,
07-25-2017,24,8,clutch3,4,2392.725,,
07-27-2017,24,8,clutch4,4,2491.413,,
07-29-2017,24,8,clutch5,4,2557.017,,
08-01-2017,24,8,clutch6,4,2567.761,,
08-02-2017,24,8,clutch7,4,2546.031,,
08-03-2017,24,8,clutch8,4,2627.857,,
08-04-2017,24,8,clutch9,4,2644.344,,
08-05-2017,24,8,clutch10,4,2786.816,,
08-07-2017,24,8,clutch11,4,2873.172,,
08-09-2017,24,8,clutch12,4,2968.616,,
08-11-2017,24,8,clutch13,4,2965.699,,
08-13-2017,24,8,clutch14,4,3017.9,,
07-11-2017,27,1,neonate,4,833.08,,7/5/2017
07-16-2017,27,1,clutch1,4,1752.667,,
07-21-2017,27,1,clutch2,4,2092.488,,
07-24-2017,27,1,clutch3,4,2265.454,,
07-25-2017,27,1,clutch4,4,2311.668,,
07-27-2017,27,1,clutch5,4,2469.831,,
07-30-2017,27,1,clutch6,4,2532.014,,
07-31-2017,27,1,clutch7,4,2495.98,,
08-01-2017,27,1,clutch8,4,2514.801,,
08-03-2017,27,1,clutch9,4,2662.631,,
08-05-2017,27,1,clutch10,4,2755.662,,
08-07-2017,27,1,clutch11,4,2788.532,,
08-08-2017,27,1,death,4,2846.848,,
07-11-2017,27,2,neonate,4,825.516,,
07-17-2017,27,2,clutch1,4,1752.667,,
07-20-2017,27,2,clutch2,4,1964.67,,
07-21-2017,27,2,clutch3,4,2138.988,,
07-24-2017,27,2,clutch4,4,2176.343,,
07-25-2017,27,2,clutch5,4,2317.98,,
07-27-2017,27,2,clutch6,4,2392.716,,
07-29-2017,27,2,clutch7,4,2491.546,,
07-30-2017,27,2,clutch8,4,2479.05,,
07-31-2017,27,2,clutch9,4,2560.627,,
08-01-2017,27,2,clutch10,4,2502.077,,
08-02-2017,27,2,clutch11,4,2523.812,,
08-04-2017,27,2,clutch12,4,2635.325,,
08-06-2017,27,2,clutch13,4,2693.685,,
08-07-2017,27,2,clutch14,4,2749.906,,
08-09-2017,27,2,clutch15,4,2849.212,,
08-11-2017,27,2,clutch16,4,2888.573,,
08-13-2017,27,2,clutch17,4,2888.768,,
07-12-2017,27,3,neonate,4,717.323,"From 10-2 lineage, died at clutch5",
07-20-2017,27,3,clutch1,4,1773.557,From 10-2 lineage,
07-24-2017,27,3,clutch2,4,1901.644,From 10-2 lineage,
07-28-2017,27,3,clutch3,4,2076.56,From 10-2 lineage,
07-29-2017,27,3,clutch4,4,2061.191,From 10-2 lineage,
07-31-2017,27,3,clutch5,4,2104.068,From 10-2 lineage,
,27,3,clutch6,4,,From 10-2 lineage,
,27,3,clutch7,4,,From 10-2 lineage,
,27,3,clutch8,4,,From 10-2 lineage,
07-11-2017,27,4,neonate,4,1035.116,,
07-16-2017,27,4,clutch1,4,1766.513,,
07-21-2017,27,4,clutch2,4,1935.807,,
07-22-2017,27,4,clutch3,4,,body size not measured,
07-24-2017,27,4,clutch4,4,2201.173,,
07-26-2017,27,4,clutch5,4,2227.095,,
07-28-2017,27,4,clutch6,4,2347.62,,
07-29-2017,27,4,clutch7,4,2337.498,,
07-30-2017,27,4,clutch8,4,2407.604,,
07-31-2017,27,4,clutch9,4,2387.327,,
08-01-2017,27,4,clutch10,4,2395.577,,
08-03-2017,27,4,clutch11,4,2494.615,,
08-05-2017,27,4,clutch12,4,2627.15,,
08-06-2017,27,4,clutch13,4,2708.589,,
08-08-2017,27,4,clutch14,4,2742.795,,
08-09-2017,27,4,clutch15,4,2707.596,,
08-10-2017,27,4,clutch16,4,2762.015,,
08-11-2017,27,4,clutch17,4,2743.202,,
07-14-2017,27,5,neonate,4,697.744,,
07-22-2017,27,5,clutch1,4,,body size not measured,
07-24-2017,27,5,clutch2,4,2059.762,,
07-25-2017,27,5,clutch3,4,2071.122,,
07-28-2017,27,5,clutch4,4,2223.181,,
07-29-2017,27,5,clutch5,4,2281.752,,
08-01-2017,27,5,clutch6,4,2276.951,,
08-03-2017,27,5,clutch7,4,2324.46,,
08-05-2017,27,5,clutch8,4,2463.449,,
08-06-2017,27,5,clutch9,4,2522.477,,
08-08-2017,27,5,clutch10,4,2590.553,,
08-10-2017,27,5,clutch11,4,2707.503,,
08-12-2017,27,5,clutch12,4,2737.97,,
08-10-2017,27,6,neonate,4,666.789,Restarted because acclimated lineage died. Restart 08/02/2017,
,27,6,clutch1,4,,,
,27,6,clutch2,4,,,
,27,6,clutch3,4,,,
,27,6,clutch4,4,,,
,27,6,clutch5,4,,,
,27,6,clutch6,4,,,
,27,6,clutch7,4,,,
,27,6,clutch8,4,,,
07-11-2017,27,7,neonate,4,692.1,,
07-18-2017,27,7,clutch1,4,1659.081,,
07-20-2017,27,7,clutch2,4,1747.451,,
07-22-2017,27,7,clutch3,4,,body size not measured,
07-24-2017,27,7,clutch4,4,1910.775,,
07-26-2017,27,7,clutch5,4,1927.536,,
07-29-2017,27,7,clutch6,4,2001.011,,
07-30-2017,27,7,clutch7,4,2093.306,,
07-31-2017,27,7,clutch8,4,2133.45,,
08-01-2017,27,7,clutch9,4,2227.836,,
08-03-2017,27,7,clutch10,4,2270.711,,
08-05-2017,27,7,clutch11,4,2335.175,,
08-07-2017,27,7,clutch12,4,2340.892,,
08-08-2017,27,7,clutch13,4,2316.83,,
07-11-2017,27,8,neonate,4,725.375,,
07-16-2017,27,8,clutch1,4,1619.405,,
07-20-2017,27,8,clutch2,4,1709.397,,
07-21-2017,27,8,clutch3,4,1822.607,,
07-24-2017,27,8,clutch4,4,2004.027,,
07-28-2017,27,8,clutch5,4,2267.025,,
07-30-2017,27,8,clutch6,4,2358.185,,
07-31-2017,27,8,clutch7,4,2376.566,,
08-01-2017,27,8,clutch8,4,2342.662,,
08-03-2017,27,8,clutch9,4,2471.127,,
08-05-2017,27,8,clutch10,4,2565.642,,
08-06-2017,27,8,clutch11,4,2559.648,,
08-09-2017,27,8,clutch12,4,2734.785,,
08-10-2017,27,8,clutch13,4,2757.979,,
08-12-2017,27,8,clutch14,4,2785.4,,
08-13-2017,27,8,clutch15,4,2781.072,,
