temperature,replicate,clutch_number,final_baby_count,initial_baby_count,experiment
20,7,2,12,9,acclimated
20,7,3,20,20,acclimated
20,7,4,24,25,acclimated
20,7,5,18,19,acclimated
20,7,6,10,14,acclimated
20,8,1,13,13,acclimated
20,8,2,18,20,acclimated
20,8,3,22,22,acclimated
20,8,4,8,10,acclimated
20,8,5,7,10,acclimated
20,8,6,22,20,acclimated
24,1,1,5,6,acclimated
24,1,2,2,2,acclimated
24,1,3,7,7,acclimated
24,1,4,10,14,acclimated
24,1,5,9,10,acclimated
24,1,6,3,3,acclimated
24,2,1,1,1,acclimated
24,2,2,12,12,acclimated
24,2,3,10,11,acclimated
24,2,4,3,3,acclimated
24,2,5,19,19,acclimated
24,2,6,9,9,acclimated
24,3,1,8,NA,acclimated
24,3,2,10,10,acclimated
24,3,3,NA,10,acclimated
24,3,4,12,13,acclimated
24,3,5,16,19,acclimated
24,3,6,23,23,acclimated
24,4,1,5,5,acclimated
24,4,2,7,8,acclimated
24,4,3,13,13,acclimated
24,4,4,18,19,acclimated
24,4,5,4,4,acclimated
24,4,6,13,13,acclimated
24,5,1,13,13,acclimated
24,5,2,3,13,acclimated
24,5,3,20,23,acclimated
24,5,4,NA,NA,acclimated
24,5,5,NA,NA,acclimated
24,5,6,NA,NA,acclimated
24,6,1,11,15,acclimated
24,6,2,16,17,acclimated
24,6,3,18,18,acclimated
24,6,4,2,2,acclimated
24,6,5,14,14,acclimated
24,6,6,10,10,acclimated
24,7,1,1,1,acclimated
24,7,2,14,16,acclimated
24,7,3,8,8,acclimated
24,7,4,9,10,acclimated
24,7,5,1,1,acclimated
24,7,6,13,16,acclimated
24,8,1,10,10,acclimated
24,8,2,9,9,acclimated
24,8,3,14,20,acclimated
24,8,4,10,11,acclimated
24,8,5,22,23,acclimated
24,8,6,23,23,acclimated
27,1,1,3,5,acclimated
27,1,2,5,4,acclimated
27,1,3,5,12,acclimated
27,1,4,4,4,acclimated
27,1,5,4,4,acclimated
27,1,6,16,18,acclimated
27,2,1,10,NA,acclimated
27,2,2,3,3,acclimated
27,2,3,10,13,acclimated
27,2,4,12,15,acclimated
27,2,5,17,18,acclimated
27,2,6,11,12,acclimated
27,2,7,13,20,acclimated
27,3,1,7,7,acclimated
27,3,2,7,6,acclimated
27,3,3,8,9,acclimated
27,3,4,8,10,acclimated
27,3,5,4,4,acclimated
27,3,6,NA,NA,acclimated
27,4,1,9,NA,acclimated
27,4,2,9,12,acclimated
27,4,3,12,12,acclimated
27,4,4,7,7,acclimated
27,4,5,10,12,acclimated
27,4,6,7,7,acclimated
27,4,7,9,10,acclimated
27,5,1,8,8,acclimated
27,5,2,2,2,acclimated
27,5,3,12,12,acclimated
27,5,4,6,6,acclimated
27,5,5,12,14,acclimated
27,5,6,11,13,acclimated
27,6,1,4,4,acclimated
27,6,2,12,13,acclimated
27,6,3,6,7,acclimated
27,6,4,9,13,acclimated
27,6,5,11,12,acclimated
27,6,6,12,12,acclimated
27,7,1,NA,2,acclimated
27,7,2,4,4,acclimated
27,7,3,2,2,acclimated
27,7,4,2,2,acclimated
27,7,5,5,6,acclimated
27,7,6,3,3,acclimated
27,8,1,1,NA,acclimated
27,8,2,4,5,acclimated
27,8,3,5,6,acclimated
27,8,4,15,19,acclimated
27,8,5,6,7,acclimated
27,8,6,11,12,acclimated
