unique_id,id,early_death_notes,temperature,date_of_birth_m_d_y,early_death_notes_1,date_of_1st_clutch,size_of_first_clutch,date_of_2nd_clutch,size_of_2nd_clutch,date_of_3rd_clutch,size_of_3rd_clutch,date_of_4th_clutch,size_of_4th_clutch,notes,time_to_first_clutch,time_btw_1_2,time_bwn_2_3,time_bwn_3_4,clutch_number,length,somatic_growth_rate,max_length
E_12,E,NA,12.0,2016-07-06,NA,2016-07-21,5,2016-07-27,NA,2016-08-01,2,2016-08-08,NA,NA,360.0,144.0,120.0,168.0,1st clutch,1884.591,3.369722222222222,2417.794
F_12,F,NA,12.0,2016-07-06,NA,2016-07-20,5,2016-07-25,9,2016-08-05,18,2016-08-11,11,NA,336.0,120.0,264.0,144.0,1st clutch,2014.199,3.047172619047619,2647.543
L_12,L,Dead,12.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
K_12,K,Dead?,12.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
G_12,G,NA,12.0,2016-07-17,NA,2016-08-01,NA,NA,NA,NA,NA,NA,NA,NA,360.0,NA,NA,NA,1st clutch,2171.0,NA,2171.0
2N1.3_16,2N1.3,NA,16.0,2016-07-04,NA,2016-07-19,2,2016-07-23,4,2016-08-01,0,2016-08-04,9,NA,360.0,96.0,216.0,72.0,1st clutch,2386.327,4.535313888888889,2762.431
A_16,A,NA,16.0,2016-07-05,NA,2016-07-19,2,2016-08-01,2,2016-08-12,NA,NA,NA,NA,336.0,312.0,264.0,NA,1st clutch,2011.869,3.8484464285714286,2755.235
B_16,B,NA,16.0,2016-07-06,NA,2016-07-17,3,2016-07-20,NA,2016-08-12,NA,2016-09-06,NA,NA,264.0,72.0,552.0,600.0,1st clutch,1998.19,4.771844696969697,3327.664
E_16,E,NA,16.0,2016-07-06,NA,2016-07-16,NA,2016-07-20,10,2016-07-23,10,2016-08-01,2,NA,240.0,96.0,72.0,216.0,1st clutch,NA,NA,2431.284
F_16,F,Dead July 25th,16.0,2016-07-06,NA,2016-07-15,5,2016-07-18,4,2016-07-19,2,NA,NA,NA,216.0,72.0,24.0,NA,1st clutch,2270.188,6.31725925925926,2270.188
L_16,L,Dead July 8th,16.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
K_16,K,NA,16.0,2016-07-17,NA,2016-09-04,NA,2016-09-07,NA,2016-09-12,NA,NA,NA,it looks like we have a second measurement for the 3rd clutch of 16C v2 K? 2357.156um on August 12. Check notes to resolve this.,1176.0,72.0,120.0,NA,1st clutch,2825.929,NA,3052.33
G_16,G,July 28th - measurement of only one baby ( No other babies found),16.0,2016-07-17,NA,2016-07-28,0,2016-08-05,4,2016-09-02,NA,2016-09-06,NA,NA,264.0,192.0,672.0,96.0,1st clutch,2235.283,NA,3259.438
2N1.4_20,2N1.4,dead july 21,20.0,2016-07-04,NA,2016-07-16,17,2016-07-19,NA,2016-07-21,NA,NA,NA,NA,288.0,72.0,48.0,NA,1st clutch,NA,NA,2510.064
A_20,A,NA,20.0,2016-07-05,NA,2016-07-15,10,2016-07-17,9,2016-07-20,NA,2016-07-22,NA,NA,240.0,48.0,72.0,48.0,1st clutch,2178.576,6.214833333333333,2750.916
B_20,B,NA,20.0,2016-07-06,NA,2016-07-14,3,2016-07-19,5,2016-07-22,NA,NA,NA,NA,192.0,120.0,72.0,NA,1st clutch,1875.019,5.714619791666666,2685.214
E_20,E,Dead July 13th,20.0,2016-07-06,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
F_20,F,NA,20.0,2016-07-06,NA,2016-07-16,9,2016-07-19,NA,2016-07-21,NA,2016-07-22,NA,NA,240.0,72.0,48.0,24.0,1st clutch,NA,NA,2624.694
L_20,L,NA,20.0,2016-07-05,NA,2016-07-15,28,2016-07-18,NA,2016-07-20,NA,2016-07-23,NA,NA,240.0,72.0,48.0,72.0,1st clutch,1875.717,4.9224250000000005,2343.901
K_20,K,NA,20.0,2016-07-17,NA,2016-07-27,NA,2016-07-30,NA,2016-08-02,0,2016-08-04,NA,NA,240.0,72.0,72.0,48.0,1st clutch,1912.663,NA,2460.179
G_20,G,July 28th - Georgia couldn`t find the Daphnia. Found 2 adults in 12 V2 N and based on size concluded that one was the 20 V2 G./ Dead Aug 8th,20.0,2016-07-17,NA,2016-07-27,2,2016-08-02,0,2016-08-05,10,NA,NA,NA,240.0,144.0,72.0,NA,1st clutch,2394.311,NA,2492.483
2N1.5_24,2N1.5,NA,24.0,2016-07-04,NA,2016-07-17,9,2016-07-18,18,2016-07-20,NA,2016-07-22,NA,NA,312.0,24.0,48.0,48.0,1st clutch,2390.092,5.24698717948718,2723.807
A_24,A,NA,24.0,2016-07-05,NA,2016-07-13,1,2016-07-16,5,2016-07-18,8,2016-07-19,NA,NA,192.0,72.0,48.0,24.0,1st clutch,1854.054,6.035223958333333,2330.235
B_24,B,NA,24.0,2016-07-06,NA,2016-07-13,0,2016-07-15,12,2016-07-16,9,2016-07-18,17,NA,168.0,48.0,24.0,48.0,1st clutch,2041.427,7.482601190476189,2452.862
E_24,E,NA,24.0,2016-07-06,NA,2016-07-12,0,2016-07-14,18,NA,NA,NA,NA,NA,144.0,48.0,NA,NA,1st clutch,1899.974,8.607999999999999,1988.416
F_24,F,NA,24.0,2016-07-06,NA,2016-07-11,7,2016-07-15,22,2016-07-17,16,2016-07-19,NA,NA,120.0,96.0,48.0,48.0,1st clutch,1982.991,9.550408333333333,2393.659
L_24,L,NA,24.0,2016-07-05,NA,2016-07-13,NA,2016-07-16,3,2016-07-18,4,2016-07-20,NA,NA,192.0,72.0,48.0,48.0,1st clutch,1744.941,5.274734375,2267.649
K_24,K,Dead?,24.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
G_24,G,Dead?,24.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
2N1.1_8,2N1.1,NA,8.0,2016-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
A_8,A,Dead July 8th,8.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
B_8,B,Dead July 14th,8.0,2016-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
E_8,E,NA,8.0,2016-07-06,NA,2016-08-04,7,2016-08-13,NA,2016-08-23,NA,2016-09-02,NA,NA,696.0,216.0,240.0,240.0,1st clutch,1839.887,1.7591350574712643,2380.458
F_8,F,NA,8.0,2016-07-06,NA,2016-07-28,NA,2016-08-08,NA,2016-08-25,NA,2016-09-04,NA,NA,528.0,264.0,408.0,240.0,1st clutch,2048.017,1.9047386363636358,2498.741
L_8,L,Dead,8.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st clutch,NA,NA,NA
2N1.2_12,2N1.2,"July 28th - two adults in the tube, based on size concluded that one was 20 V2 G and that the babies belong to 12 V2 N.",12.0,2016-07-04,NA,2016-07-18,NA,2016-07-23,8,2016-07-28,NA,2016-07-29,NA,NA,336.0,120.0,120.0,24.0,2nd clutch,2024.381,3.4183809523809523,2135.284
A_12,A,NA,12.0,2016-07-05,NA,2016-07-25,4,NA,NA,NA,NA,NA,NA,NA,480.0,NA,NA,NA,2nd clutch,NA,2.442675,1856.525
B_12,B,Dead,12.0,2016-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
E_12,E,NA,12.0,2016-07-06,NA,2016-07-21,5,2016-07-27,NA,2016-08-01,2,2016-08-08,NA,NA,360.0,144.0,120.0,168.0,2nd clutch,2016.739,3.369722222222222,2417.794
F_12,F,NA,12.0,2016-07-06,NA,2016-07-20,5,2016-07-25,9,2016-08-05,18,2016-08-11,11,NA,336.0,120.0,264.0,144.0,2nd clutch,2185.278,3.047172619047619,2647.543
L_12,L,Dead,12.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
K_12,K,Dead?,12.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
G_12,G,NA,12.0,2016-07-17,NA,2016-08-01,NA,NA,NA,NA,NA,NA,NA,NA,360.0,NA,NA,NA,2nd clutch,NA,NA,2171.0
2N1.3_16,2N1.3,NA,16.0,2016-07-04,NA,2016-07-19,2,2016-07-23,4,2016-08-01,0,2016-08-04,9,NA,360.0,96.0,216.0,72.0,2nd clutch,2564.148,4.535313888888889,2762.431
A_16,A,NA,16.0,2016-07-05,NA,2016-07-19,2,2016-08-01,2,2016-08-12,NA,NA,NA,NA,336.0,312.0,264.0,NA,2nd clutch,NA,3.8484464285714286,2755.235
B_16,B,NA,16.0,2016-07-06,NA,2016-07-17,3,2016-07-20,NA,2016-08-12,NA,2016-09-06,NA,NA,264.0,72.0,552.0,600.0,2nd clutch,2191.355,4.771844696969697,3327.664
E_16,E,NA,16.0,2016-07-06,NA,2016-07-16,NA,2016-07-20,10,2016-07-23,10,2016-08-01,2,NA,240.0,96.0,72.0,216.0,2nd clutch,1969.135,NA,2431.284
F_16,F,Dead July 25th,16.0,2016-07-06,NA,2016-07-15,5,2016-07-18,4,2016-07-19,2,NA,NA,NA,216.0,72.0,24.0,NA,2nd clutch,2120.869,6.31725925925926,2270.188
L_16,L,Dead July 8th,16.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
K_16,K,NA,16.0,2016-07-17,NA,2016-09-04,NA,2016-09-07,NA,2016-09-12,NA,NA,NA,it looks like we have a second measurement for the 3rd clutch of 16C v2 K? 2357.156um on August 12. Check notes to resolve this.,1176.0,72.0,120.0,NA,2nd clutch,2911.878,NA,3052.33
G_16,G,July 28th - measurement of only one baby ( No other babies found),16.0,2016-07-17,NA,2016-07-28,0,2016-08-05,4,2016-09-02,NA,2016-09-06,NA,NA,264.0,192.0,672.0,96.0,2nd clutch,NA,NA,3259.438
2N1.4_20,2N1.4,dead july 21,20.0,2016-07-04,NA,2016-07-16,17,2016-07-19,NA,2016-07-21,NA,NA,NA,NA,288.0,72.0,48.0,NA,2nd clutch,2510.064,NA,2510.064
A_20,A,NA,20.0,2016-07-05,NA,2016-07-15,10,2016-07-17,9,2016-07-20,NA,2016-07-22,NA,NA,240.0,48.0,72.0,48.0,2nd clutch,2152.845,6.214833333333333,2750.916
B_20,B,NA,20.0,2016-07-06,NA,2016-07-14,3,2016-07-19,5,2016-07-22,NA,NA,NA,NA,192.0,120.0,72.0,NA,2nd clutch,2191.355,5.714619791666666,2685.214
E_20,E,Dead July 13th,20.0,2016-07-06,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
F_20,F,NA,20.0,2016-07-06,NA,2016-07-16,9,2016-07-19,NA,2016-07-21,NA,2016-07-22,NA,NA,240.0,72.0,48.0,24.0,2nd clutch,2468.559,NA,2624.694
L_20,L,NA,20.0,2016-07-05,NA,2016-07-15,28,2016-07-18,NA,2016-07-20,NA,2016-07-23,NA,NA,240.0,72.0,48.0,72.0,2nd clutch,NA,4.9224250000000005,2343.901
K_20,K,NA,20.0,2016-07-17,NA,2016-07-27,NA,2016-07-30,NA,2016-08-02,0,2016-08-04,NA,NA,240.0,72.0,72.0,48.0,2nd clutch,NA,NA,2460.179
G_20,G,July 28th - Georgia couldn`t find the Daphnia. Found 2 adults in 12 V2 N and based on size concluded that one was the 20 V2 G./ Dead Aug 8th,20.0,2016-07-17,NA,2016-07-27,2,2016-08-02,0,2016-08-05,10,NA,NA,NA,240.0,144.0,72.0,NA,2nd clutch,NA,NA,2492.483
2N1.5_24,2N1.5,NA,24.0,2016-07-04,NA,2016-07-17,9,2016-07-18,18,2016-07-20,NA,2016-07-22,NA,NA,312.0,24.0,48.0,48.0,2nd clutch,2415.681,5.24698717948718,2723.807
A_24,A,NA,24.0,2016-07-05,NA,2016-07-13,1,2016-07-16,5,2016-07-18,8,2016-07-19,NA,NA,192.0,72.0,48.0,24.0,2nd clutch,NA,6.035223958333333,2330.235
B_24,B,NA,24.0,2016-07-06,NA,2016-07-13,0,2016-07-15,12,2016-07-16,9,2016-07-18,17,NA,168.0,48.0,24.0,48.0,2nd clutch,2175.511,7.482601190476189,2452.862
E_24,E,NA,24.0,2016-07-06,NA,2016-07-12,0,2016-07-14,18,NA,NA,NA,NA,NA,144.0,48.0,NA,NA,2nd clutch,1988.416,8.607999999999999,1988.416
F_24,F,NA,24.0,2016-07-06,NA,2016-07-11,7,2016-07-15,22,2016-07-17,16,2016-07-19,NA,NA,120.0,96.0,48.0,48.0,2nd clutch,2270.188,9.550408333333333,2393.659
L_24,L,NA,24.0,2016-07-05,NA,2016-07-13,NA,2016-07-16,3,2016-07-18,4,2016-07-20,NA,NA,192.0,72.0,48.0,48.0,2nd clutch,NA,5.274734375,2267.649
K_24,K,Dead?,24.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
G_24,G,Dead?,24.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
2N1.1_8,2N1.1,NA,8.0,2016-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
A_8,A,Dead July 8th,8.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
B_8,B,Dead July 14th,8.0,2016-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
E_8,E,NA,8.0,2016-07-06,NA,2016-08-04,7,2016-08-13,NA,2016-08-23,NA,2016-09-02,NA,NA,696.0,216.0,240.0,240.0,2nd clutch,2048.905,1.7591350574712643,2380.458
F_8,F,NA,8.0,2016-07-06,NA,2016-07-28,NA,2016-08-08,NA,2016-08-25,NA,2016-09-04,NA,NA,528.0,264.0,408.0,240.0,2nd clutch,2185.218,1.9047386363636358,2498.741
L_8,L,Dead,8.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd clutch,NA,NA,NA
2N1.2_12,2N1.2,"July 28th - two adults in the tube, based on size concluded that one was 20 V2 G and that the babies belong to 12 V2 N.",12.0,2016-07-04,NA,2016-07-18,NA,2016-07-23,8,2016-07-28,NA,2016-07-29,NA,NA,336.0,120.0,120.0,24.0,3rd clutch,2002.256,3.4183809523809523,2135.284
A_12,A,NA,12.0,2016-07-05,NA,2016-07-25,4,NA,NA,NA,NA,NA,NA,NA,480.0,NA,NA,NA,3rd clutch,NA,2.442675,1856.525
B_12,B,Dead,12.0,2016-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd clutch,NA,NA,NA
E_12,E,NA,12.0,2016-07-06,NA,2016-07-21,5,2016-07-27,NA,2016-08-01,2,2016-08-08,NA,NA,360.0,144.0,120.0,168.0,3rd clutch,2029.892,3.369722222222222,2417.794
F_12,F,NA,12.0,2016-07-06,NA,2016-07-20,5,2016-07-25,9,2016-08-05,18,2016-08-11,11,NA,336.0,120.0,264.0,144.0,3rd clutch,NA,3.047172619047619,2647.543
L_12,L,Dead,12.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd clutch,NA,NA,NA
K_12,K,Dead?,12.0,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd clutch,NA,NA,NA
G_12,G,NA,12.0,2016-07-17,NA,2016-08-01,NA,NA,NA,NA,NA,NA,NA,NA,360.0,NA,NA,NA,3rd clutch,NA,NA,2171.0
2N1.3_16,2N1.3,NA,16.0,2016-07-04,NA,2016-07-19,2,2016-07-23,4,2016-08-01,0,2016-08-04,9,NA,360.0,96.0,216.0,72.0,3rd clutch,2751.911,4.535313888888889,2762.431
A_16,A,NA,16.0,2016-07-05,NA,2016-07-19,2,2016-08-01,2,2016-08-12,NA,NA,NA,NA,336.0,312.0,264.0,NA,3rd clutch,2755.235,3.8484464285714286,2755.235
B_16,B,NA,16.0,2016-07-06,NA,2016-07-17,3,2016-07-20,NA,2016-08-12,NA,2016-09-06,NA,NA,264.0,72.0,552.0,600.0,3rd clutch,2896.866,4.771844696969697,3327.664
E_16,E,NA,16.0,2016-07-06,NA,2016-07-16,NA,2016-07-20,10,2016-07-23,10,2016-08-01,2,NA,240.0,96.0,72.0,216.0,3rd clutch,2202.931,NA,2431.284
F_16,F,Dead July 25th,16.0,2016-07-06,NA,2016-07-15,5,2016-07-18,4,2016-07-19,2,NA,NA,NA,216.0,72.0,24.0,NA,3rd clutch,2118.573,6.31725925925926,2270.188
L_16,L,Dead July 8th,16.0,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd clutch,NA,NA,NA
K_16,K,NA,16.0,2016-07-17,NA,2016-09-04,NA,2016-09-07,NA,2016-09-12,NA,NA,NA,it looks like we have a second measurement for the 3rd clutch of 16C v2 K? 2357.156um on August 12. Check notes to resolve this.,1176.0,72.0,120.0,NA,3rd clutch,3052.33,NA,3052.33
G_16,G,July 28th - measurement of only one baby ( No other babies found),16.0,2016-07-17,NA,2016-07-28,0,2016-08-05,4,2016-09-02,NA,2016-09-06,NA,NA,264.0,192.0,672.0,96.0,3rd clutch,3159.927,NA,3259.438
2N1.4_20,2N1.4,dead july 21,20.0,2016-07-04,NA,2016-07-16,17,2016-07-19,NA,2016-07-21,NA,NA,NA,NA,288.0,72.0,48.0,NA,3rd clutch,NA,NA,2510.064
A_20,A,NA,20.0,2016-07-05,NA,2016-07-15,10,2016-07-17,9,2016-07-20,NA,2016-07-22,NA,NA,240.0,48.0,72.0,48.0,3rd clutch,2653.179,6.214833333333333,2750.916
B_20,B,NA,20.0,2016-07-06,NA,2016-07-14,3,2016-07-19,5,2016-07-22,NA,NA,NA,NA,192.0,120.0,72.0,NA,3rd clutch,2685.214,5.714619791666666,2685.214
E_20,E,Dead July 13th,20.0,2016-07-06,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd clutch,NA,NA,NA
F_20,F,NA,20.0,2016-07-06,NA,2016-07-16,9,2016-07-19,NA,2016-07-21,NA,2016-07-22,NA,NA,240.0,72.0,48.0,24.0,3rd clutch,2624.694,NA,2624.694
L_20,L,NA,20.0,2016-07-05,NA,2016-07-15,28,2016-07-18,NA,2016-07-20,NA,2016-07-23,NA,NA,240.0,72.0,48.0,72.0,3rd clutch,2167.909,4.9224250000000005,2343.901
